Left X = 98, Left Y = 6
Right X = 146, Right Y = 10
Left X = 135, Left Y = 29
Right X = 171, Right Y = 31
Left X = 156, Left Y = 33
Right X = 188, Right Y = 34
Left X = 382, Left Y = 15
Right X = 403, Right Y = 13
Left X = 387, Left Y = 16
Right X = 406, Right Y = 13
Left X = 393, Left Y = 15
Right X = 413, Right Y = 12
Left X = 396, Left Y = 15
Right X = 417, Right Y = 13
Left X = 400, Left Y = 15
Right X = 420, Right Y = 13
Left X = 407, Left Y = 16
Right X = 427, Right Y = 13
Left X = 411, Left Y = 16
Right X = 431, Right Y = 13
Left X = 414, Left Y = 15
Right X = 436, Right Y = 13
Left X = 418, Left Y = 16
Right X = 437, Right Y = 14
Left X = 419, Left Y = 16
Right X = 438, Right Y = 14
Left X = 421, Left Y = 17
Right X = 440, Right Y = 15
Left X = 423, Left Y = 18
Right X = 441, Right Y = 15
Left X = 423, Left Y = 17
Right X = 441, Right Y = 15
Left X = 422, Left Y = 18
Right X = 440, Right Y = 15
Left X = 419, Left Y = 18
Right X = 436, Right Y = 16
Left X = 236, Left Y = 14
Right X = 272, Right Y = 6
Left X = 53, Left Y = 15
Right X = 91, Right Y = 20
